               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.012491,            0.054055,                   0,                   1,                   1,             0.99854,             0.95649,           0.0069015,            0.030055,                   0,           0.0021257,           0.0021257,           0.0021257
                 140,            0.012168,            0.052542,                   0,                   1,                   1,             0.99878,             0.95516,           0.0070282,            0.031464,                   0,           0.0021057,           0.0021057,           0.0021057
                 141,            0.012236,            0.053023,                   0,                   1,             0.99999,             0.99889,              0.9519,           0.0072028,            0.032918,                   0,           0.0020874,           0.0020874,           0.0020874
                 142,            0.012403,            0.053354,                   0,                   1,             0.99948,             0.99911,             0.95714,           0.0069486,            0.030975,                   0,           0.0020709,           0.0020709,           0.0020709
                 143,            0.012263,            0.053202,                   0,                   1,                   1,             0.99912,             0.96043,           0.0068715,            0.029646,                   0,            0.002056,            0.002056,            0.002056
                 144,             0.01191,             0.05282,                   0,                   1,                   1,             0.99905,              0.9592,           0.0069326,            0.029155,                   0,           0.0020429,           0.0020429,           0.0020429
                 145,            0.012388,            0.054954,                   0,                   1,                   1,             0.99884,             0.95942,           0.0068843,            0.029607,                   0,           0.0020315,           0.0020315,           0.0020315
                 146,             0.01207,            0.051925,                   0,                   1,                   1,             0.99915,             0.95917,           0.0068392,            0.029679,                   0,           0.0020219,           0.0020219,           0.0020219
                 147,              0.0122,            0.053255,                   0,                   1,                   1,             0.99898,             0.96076,           0.0067711,            0.029187,                   0,            0.002014,            0.002014,            0.002014
                 148,            0.011839,            0.052181,                   0,                   1,                   1,             0.99914,              0.9555,           0.0069728,             0.03116,                   0,           0.0020079,           0.0020079,           0.0020079
                 149,            0.012158,            0.053927,                   0,                   1,                   1,             0.99908,             0.95842,            0.006808,            0.030812,                   0,           0.0020035,           0.0020035,           0.0020035
